store_id,name,food_type,avg_rating
o1bn,restaurant mei yen (sang kee hokkien mee),noodles,4.5
yz8a,ayam gepuk bapak gemboss (seksyen 17),malaysian,4.7
k3h0,kim lian kee (jaya one),fried rice,4.4
rkiv,chutneybox banana leaf - restaurant,indian,4.1
n0im,taj kitchen,chicken,4.4
m0wa,streat thai (jaya one),thai,4.7
o0ap,restoran how yekee,fried rice,4.7
v6lx,restoran sk maju (seksyen 19),malaysian,4.6
m1qu,tedboy bakery (jaya one),western,4.7
gcoc,pasta & rice co (seksyen 14) (efmc),chicken,3.6
s9wg,the brgr (pj section 14),burgers,4.7
s5gb,house of pakeeza,indian,4.5
xwvk,nurich cafe & catering - kolej kediaman ke-13 um,malaysian,4.6
zwlc,texas wraps co. (seksyen 14) (efmc),wraps,3.7
l3ek,restoran daun pisang al-arisaan maju,indian,4.4
ek9c,heritage nasi lemak (seksyen 14) (efmc),nasi lemak,3.3
dby9,gangnam f-chicken (seksyen 14) (efmc),korean,4.2
e5lj,hogan bakery (jaya shopping centre),bread,4.7
m1fg,chappati dot com,indian,4.3
huye,tofu chacha,malaysian,4.1
z9yb,restoran dmanja,fried rice,4.6
f8lu,restoran ikan singgang,malaysian,4.4
g9s7,eddy & pak mod tomyam seafood,fried rice,4.5
vdih,kedai kopi nadia hezlin,chicken,4.6
p9re,grafa cafe & restaurant,malaysian,4.2
vdvv,restoran hamzah bistro,asian,4.6
xvuz,restoran bismillah,malaysian,4.2
q5hz,nasi lemak panas cop merah 223,nasi lemak,4.7
jzei,restoran iskandar bistro,malaysian,4.5
dnku,abang jai tomyam,malaysian,4.5
qaf2,tomyam petai,fried rice,4.6
v3ql,wira seafood (pj),chicken,4.7
amby,kedai ibu nur,soups,4.7
g0v9,restoran sree ganesh,asian,4.2
ox7j,texas chicken (the envictus),fast food,4.6
n6eb,restoran seri semporna sunway,malaysian,4.4
q0vn,restoran jaya (petaling jaya),malaysian,4.2
p2eb,warung tok cik,nasi kerabu,4.7
m7zl,syed bistro (petaling jaya),malaysian,4.6
ty00,kravee pj restaurant,malaysian,4.4
og3i,nature's recipe cafe,vegetarian,4.7
o4dl,restaurant pj hills,indian,4.6
lehv,urban masala (sunway),indian,4.3
r2ly,ayam penyet best (amcorp mall),ayam penyet,4.6
oh0f,restoran air tangan ara,malaysian,4.5
deh8,ayam penyet ibuk (mak lampir),ayam penyet,4.8
s4rw,tealive (pj new town),bubble tea,4.9
l1cz,restoran d'syasya,malaysian,4.5
p89d,restoran nasi kandar imam hussain,indian,4.6
elem,sate kajang hj. samuri (petaling jaya newtown),satay,4.6
shp9,sugarbun (pj kitchen),fried chicken,4.6
wq8c,noodles shop (jalan gasing),noodles,4.5
m3hr,gem's restaurant (pj),indian,4.1
q5pp,ghani corner (taman medan),nasi kukus,4.5
n8sa,mios kitchen (matahari mall foodcourt),western,4.7
n3of,amn's corner nasi lemak panas,nasi lemak,4.7
dbgg,restoran mek pantai timur - taman dato harun,asian,4.6
a8il,usha banana leaf (pj),indian,4.3
ns3p,khair cendol pulut tapai dan laksa,laksa,4.3
l8gg,my es corner,roti canai,4.5
f6pl,yadavi claypot home pj,indian,4.8
z1ii,明记肉骨茶 ming kee bak kut teh,rice dishes,4.6
w7iw,mai’sy restoran,fried rice,4.6
vnhf,new street noodle&rice,asian,4.7
m7tn,lankan cafe,indian,4.2
aj1b,kokuma,korean,4.9
opb0,restoran shafah 24 jam,roti canai,4.2
npag,street food tasty @ pantai dalam,burgers,4.4
nvsh,restoran nasi kandar pokok pinang,nasi kandar,4.4
p1ur,nasi kandar fareed,nasi kandar,4.8
lfso,d'gazebo tomyam,malaysian,4.5
vjy7,restoran tumisan ibu,malaysian,4.8
y17v,atok food sdn bhd,chicken,4.3
vg76,ayam goreng legend (kota damansara),fried chicken,4.6
v6y2,168 pan mee,chinese,4.6
y9ks,fu jee ulu yam loh mee (the strand kota damansara),noodles,4.5
rgt2,restoran ayam gepuk top global (strand mall),malaysian,4.7
u2hv,burger ayam crispy padu bak hang (kota damansara),burgers,4.7
x2gb,satay alif (seksyen 4),satay,4.3
s0t6,stesen nasi kerabu,nasi kerabu,4.5
xvyr,pandabites (kd),pisang goreng,3.6
n1xy,han's gourmet grill,european,4.7
r2it,kerisik cafe,malaysian,4.9
wnv0,ujang penyet,malaysian,4.6
k5ap,restoran nur iqbal maju,malaysian,4.4
q7lc,nasi kukus kak ema,nasi kukus,4.7
e08g,kedai kopi xiang shou (kota damansara),chinese,4.3
v120,restoran lotus curry house,malaysian,4.5
o7u1,nasi kukus is kd,nasi kukus,4.8
zs7d,china sichuan kitchen - ming tien food court,chinese,4.2
l5ov,warung alfia,ayam penyet,4.4
n2ec,warung mercik the best lamb grill & local menu,chicken,4.6
riti,nasi lemak cik anie,nasi lemak,4.5
s8id,kak yong stall goreng goreng (hijrah selangor),fried rice,4.4
a7ih,kedai mak sufi,nasi lemak,4.5
n2jd,restoran nur fenaa,fried rice,4.4
o3mg,addy buang burger corner,burgers,4.8
ixx9,mama mia's kitchen,malaysian,4.8
x3gr,bubur ayam ketagih,porridge,4.7
n7bj,lontong & co,chicken,4.5
d3ls,warung kak era,fried rice,4.7
p3as,warung sate bu leha,chicken,4.7
o2li,nasi kuning judes,chicken,4.6
r8jy,restaurant & pub sin hoy kee,chinese,4.8
la57,restoran sri gangka curry house,indian,4.3
wt8s,char kuey teow sem-poa (kd),malaysian,4.6
q4yu,restoran vegetarian lai,asian,4.5
r4ld,ayam gepuk berempah (ra.re@kota damansara),chicken,4.4
lvu7,nasi lemak bonda ara damansara,nasi lemak,4.6
t4ju,restoran wang key,chinese,4.7
zc1o,cendol & mee rojak bandar utama,desserts,4.5
b3ep,cun cun burger,burgers,4.9
vfcr,fiera kitchen @ uptown kota dame,malaysian,4.7
jl64,dailytree vegetarian,asian,4.6
awla,warung padang by the majapahit (the curve),chicken,4
njrs,penyet jakarta by the majapahit (the curve),ayam penyet,3.9
bkr7,penyet suroboyo (the curve),ayam penyet,4
p4ff,origin cafe pj,european,4.8
lri7,restoran nasi kandar a1 bistro,asian,4.2
k0az,black canyon (one utama),tom yum,4.4
s1aj,johnny's restaurant (1 utama),fried rice,4.7
z95x,yen pure vege (new restaurant gembira mj),vegetarian,4.7
k4ua,"ali, muthu & ah hock kopitiam (oasis square)",malaysian,4.5
fppb,che’nor outlet cafe ( damansara perdana ),porridge,4.5
tnao,ramly burger original,burgers,4.7
c8on,nasi kerabu sani,chicken,4.7
cns1,lck wantan mee ok family restaurant,noodles,4.6
lecd,kuala burger - damansara perdana,malaysian,4.5
i4sl,kedai nasi ayam tempayan ustaz,chicken,4.7
n6t2,nasi lemak tanglin (uptown damansara),nasi lemak,4.6
p1be,jebat burger,burgers,4.7
rcfp,nasi kerabu mijie (kota damansara),nasi kerabu,4.8
fetp,nasi lemak kak zah,nasi lemak,4.8
x6mc,mui yin segambut yong tau foo,chinese,4.6
dv6z,rustic borneo kitchen,asian,4.4
q9lv,the chicken rice shop (paradigm mall),chicken,4.8
l9gg,sri ledang corner,nasi lemak,4.7
fmh1,restoran rabiha,malaysian,4.6
pyby,azlin's kitchen-kelana jaya,chicken,4.7
r1eo,shisha garden pj,malaysian,4.2
w2vr,banana bro perggh... nak lagi!!!,malaysian,4.3
yvkf,alif satay,chicken,4.4
skej,rojak dan cendol din (ttdi),desserts,4.4
zmvp,robert’s penang fried kueh teow damansara kim,kuey teow,4.5
r8bu,restoran anika selera,malaysian,4.6
g9gj,der fried chicken,fried chicken,4.8
uo9o,gerai tok ana & tok ayah,roti canai,4.6
seek,ms. shawarma,middle eastern,4.5
vek1,memorist kitchen,porridge,4.6
c5qc,murni (ss2),fried rice,4.6
e4k0,hk wanton noodles (ss2 wai sek kai),noodles,4.2
zy0p,pop meals (ttdi),malaysian,4.7
x7r2,selera astana damansara,asian,4.5
pw2f,gvg cafe,western,4.4
gtjd,ipoh canning garden chee cheong fun,malaysian,4.6
o8tg,warung along nasi lemak hulk,nasi lemak,4.5
zfol,mohd chan (kelana jaya),asian,4.7
p8dx,ayam goreng kunyit meletop (ttdi),chicken,4.8
p1de,sajian mz kelana,fried rice,4.8
g1t0,renchah hasanah,fried rice,4.7
xer8,restoran samira cuisine,middle eastern,4.7
eu9x,mr mac (rasta ttdi),pasta,4.6
tvbx,warung katup sayup (kelana jaya),malaysian,4.7
c2tq,rice.co,malaysian,4.6
n9kt,restoran puteri penchala,malaysian,4.3
dc88,botak nasi lemak seapark,nasi lemak,4.8
qkpx,kak nurul thai coner,malaysian,4.6
t6si,restoran utara,malaysian,4.6
oj0c,ipoh shredded chicken kuey teow @ restoran mj wang,noodles,4.5
b43j,our cafe,briyani,4.4
m7lf,thong kee cafe (sea park),asian,4.7
p0jx,omulab (seksyen 17),japanese,4.3
n3m0,botak nasi lemak,nasi lemak,4.7
w3xk,sushi koi paramount pj,japanese,4.6
f2ih,d’hamodal cafe,malaysian,4.8
n6ib,watie nasi kerabu damansara damai,chicken,4.6
s7qi,suri nasi lemak panas 223,nasi lemak,4.6
n8ee,gerai cik norlia (sek14),asian,4.7
o4tm,citarasa pantai timur,briyani,4.6
b7vd,gerai kak sofie,malaysian,4.8
l2nl,puyok panas,nasi kerabu,4.4
l1rz,azhar station ayam goreng kunyit (petaling jaya),chicken,4.9
vsyp,shah burger,burgers,4.6
q4tj,sup meletop zamri viral 223,soups,4.7
dmwh,restoran irfan rezeki,roti canai,4.3
