store_id,name,food_type,avg_rating,google_place_id,google_matched_name,google_formatted_address,google_price_tier,google_lat,google_lng,google_website,google_phone,operating_hours_monday,operating_hours_tuesday,operating_hours_wednesday,operating_hours_thursday,operating_hours_friday,operating_hours_saturday,operating_hours_sunday,operating_hours_by_day_json
sgw1,the good bowls & pasta - foodle (the strand mall),malaysian,3.6,ChIJgeNbviJPzDERC7NQRmyZaZg,Foodle Kota Damansara,"Red Carpet Area The Strand Mall, Pusat Perdagangan, PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550309,101.5928935,https://www.foodle.com.my/,03-6144 0333,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,10:00 AM 10:00 PM,"{""Monday"": ""10:00 AM 10:00 PM"", ""Tuesday"": ""10:00 AM 10:00 PM"", ""Wednesday"": ""10:00 AM 10:00 PM"", ""Thursday"": ""10:00 AM 10:00 PM"", ""Friday"": ""10:00 AM 10:00 PM"", ""Saturday"": ""10:00 AM 10:00 PM"", ""Sunday"": ""10:00 AM 10:00 PM""}"
pms2,chicken royale (kota damansara),asian,4.5,ChIJJaXPFbNPzDERm_98ir1j60I,CHICKEN ROYALE (EXPRESS) : KOTA DAMANSARA,"Pusat Perdagangan, Red Carpet Area The Strand, Mall PJU5, Jalan PJU 5/22, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1550282,101.5929284,http://www.chickenroyale.com.my/,018-576 0282,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,12:00 10:00 PM,"{""Monday"": ""12:00 10:00 PM"", ""Tuesday"": ""12:00 10:00 PM"", ""Wednesday"": ""12:00 10:00 PM"", ""Thursday"": ""12:00 10:00 PM"", ""Friday"": ""12:00 10:00 PM"", ""Saturday"": ""12:00 10:00 PM"", ""Sunday"": ""12:00 10:00 PM""}"
l93a,restoran vicchuda (kota damansara),malaysian,4.3,ChIJx4HKHR1PzDERLvxLztCNxgw,Restoran Vicchuda,"Jalan Sepah Puteri 5/1B, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.155043,101.5834809,https://www.google.com/maps/place/?q=place_id:ChIJx4HKHR1PzDERLvxLztCNxgw,03-6157 0737,11:00 AM 12:00 AM,11:00 AM 12:00 AM,11:00 AM 12:00 AM,11:00 AM 12:00 AM,11:00 AM 12:00 AM,11:00 AM 12:00 AM,11:00 AM 12:00 AM,"{""Monday"": ""11:00 AM 12:00 AM"", ""Tuesday"": ""11:00 AM 12:00 AM"", ""Wednesday"": ""11:00 AM 12:00 AM"", ""Thursday"": ""11:00 AM 12:00 AM"", ""Friday"": ""11:00 AM 12:00 AM"", ""Saturday"": ""11:00 AM 12:00 AM"", ""Sunday"": ""11:00 AM 12:00 AM""}"
m8ny,zahra hadramawt restaurant,chicken,4.3,ChIJeXiFFQBPzDERUX7l3S-GEog,Zahra Hadramawt Restaurant,"G-21B, Cova Square, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1477488,101.5740431,https://www.instagram.com/zahra.hadramawt,011-6424 1236,12:00 PM 2:00 AM,12:00 PM 2:00 AM,12:00 PM 2:00 AM,12:00 PM 2:00 AM,12:00 PM 2:00 AM,2:00 PM 2:00 AM,2:00 PM 2:00 AM,"{""Monday"": ""12:00 PM 2:00 AM"", ""Tuesday"": ""12:00 PM 2:00 AM"", ""Wednesday"": ""12:00 PM 2:00 AM"", ""Thursday"": ""12:00 PM 2:00 AM"", ""Friday"": ""12:00 PM 2:00 AM"", ""Saturday"": ""2:00 PM 2:00 AM"", ""Sunday"": ""2:00 PM 2:00 AM""}"
l3vc,nasi ambeng mayya,malaysian,4.6,ChIJn4KHrNBLzDERUiJ1OcjsJfY,Nasi ambeng umi kitchen,"28, Lorong PJS 2d/15d, Taman Medan, 46000 Petaling Jaya, Selangor, Malaysia",,3.077314,101.6336629,https://www.facebook.com/izann?mibextid=ZbWKwL,017-613 7720,Closed,Closed,Closed,Closed,Closed,11:49 AM 3:15 PM,Closed,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""11:49 AM 3:15 PM"", ""Sunday"": ""Closed""}"
nrok,ayam penyet ap (giant kota damansara),ayam penyet,4.7,ChIJC7lzwCFPzDERzGeuumkjtFg,Ayam Penyet AP @ Giant Hypermarket Kota Damansara,"Lot G2 & G3, Giant Hypermarket Kota Damansara, No 16, Jalan PJU 5/1, PJU 5,, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.156179,101.5961994,http://www.ayampenyet-ap.com/,03-6144 5099,10:00 AM 8:00 PM,10:00 AM 8:00 PM,10:00 AM 8:00 PM,10:00 AM 8:00 PM,10:00 AM 8:00 PM,10:00 AM 8:00 PM,10:00 AM 8:00 PM,"{""Monday"": ""10:00 AM 8:00 PM"", ""Tuesday"": ""10:00 AM 8:00 PM"", ""Wednesday"": ""10:00 AM 8:00 PM"", ""Thursday"": ""10:00 AM 8:00 PM"", ""Friday"": ""10:00 AM 8:00 PM"", ""Saturday"": ""10:00 AM 8:00 PM"", ""Sunday"": ""10:00 AM 8:00 PM""}"
q9eq,nasi ayam mewangi azeem,chicken,4.6,ChIJWdAtfQJPzDERe1LuHdk-fYg,Restoran Nasi Ayam Mewangi Azeem,"22a, Jalan Camar 4/2, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",budget,3.1531919,101.5790953,https://www.google.com/maps/place/?q=place_id:ChIJWdAtfQJPzDERe1LuHdk-fYg,011-2736 2817,11:00 AM 10:30 PM,11:00 AM 10:30 PM,11:00 AM 10:30 PM,11:00 AM 10:30 PM,11:00 AM 10:30 PM,11:00 AM 10:30 PM,11:00 AM 10:30 PM,"{""Monday"": ""11:00 AM 10:30 PM"", ""Tuesday"": ""11:00 AM 10:30 PM"", ""Wednesday"": ""11:00 AM 10:30 PM"", ""Thursday"": ""11:00 AM 10:30 PM"", ""Friday"": ""11:00 AM 10:30 PM"", ""Saturday"": ""11:00 AM 10:30 PM"", ""Sunday"": ""11:00 AM 10:30 PM""}"
o7qz,ujang char kuey teow,fried rice,4.7,ChIJKSvv4ORPzDERKx7YXhGETDI,Ujang Char Kuey teow,"Jalan sepah putri 5/1, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",,3.1560386,101.5840625,https://www.google.com/maps/place/?q=place_id:ChIJKSvv4ORPzDERKx7YXhGETDI,011-2307 4156,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,7:00 AM 9:00 PM,Closed,"{""Monday"": ""7:00 AM 9:00 PM"", ""Tuesday"": ""7:00 AM 9:00 PM"", ""Wednesday"": ""7:00 AM 9:00 PM"", ""Thursday"": ""7:00 AM 9:00 PM"", ""Friday"": ""7:00 AM 9:00 PM"", ""Saturday"": ""7:00 AM 9:00 PM"", ""Sunday"": ""Closed""}"
n6bk,nasi kandar padang kota (cova square),nasi kandar,4.6,ChIJGTYVFOBOzDERTMsbDnKAk2I,Restoran Nasi Kandar Padang Kota,"No. 28 - 1, Dataran Sunway, No. 28 - 1, Dataran Sunway, 26, Jalan PJU 5/15, Kota Damansara, 47810 Petaling Jaya, Selangor, Malaysia",mid,3.1516651,101.5919431,https://www.google.com/maps/place/?q=place_id:ChIJGTYVFOBOzDERTMsbDnKAk2I,03-6150 0438,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
f1zu,lid tomyam,fried rice,4.0,ChIJa7RMTNJLzDERP2Tq6u7WVsI,Kedai Tomyam jalan pjs 6/4 kampung lindungan bandar sunway petaling jaya,"Jalan PJS 6/4, Kampung Lindungan, 46150 Petaling Jaya, Selangor, Malaysia",,3.0759452,101.6168258,https://www.al-isalamia.com/,018-251 8691,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}"
